ID,Title,Year,Conference,Did the paper successfully participate in an artifact evaluation process?,Requirements per platform [Intel],Requirements per platform [AMD],Requirements per platform [ARM],Requirements per platform [Apple],Requirements per platform [NVIDIA],Other requirement?,Environment,"""""Novelty""""",Do they mention their attack potency?,Number of platform evaluated,What benchmark do they provide?,How is it assessed?,Error rate,Comparison to other works,How does it compare to other work?,Is there any obvious threat to the comparison reliability?,Number of configuration evaluated,Is there a protocol (agreement/transmission)? ,"If so, what is it?",Is there an error correction/management described?,"If so, what is used?",Is the code available?,"Is there a minimal documentation (compilation, installation, usage)?",Is there another covert channel evaluation ?,How is it assessed?_duplicated_0,Error rate_duplicated_0,Comparison to other works_duplicated_0,How does it compare to other work?_duplicated_0,Is there any obvious threat to the comparison reliability?_duplicated_0,Number of configuration evaluated_duplicated_0,Is there a protocol (agreement/transmission)? _duplicated_0,"If so, what is it?_duplicated_0",Is there an error correction/management described?_duplicated_0,"If so, what is used?_duplicated_0",Is the code available?_duplicated_0,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_0",Is there another covert channel evaluation ?_duplicated_0,How is it assessed?_duplicated_1,Error rate_duplicated_1,Comparison to other works_duplicated_1,How does it compare to other work?_duplicated_1,Is there any obvious threat to the comparison reliability?_duplicated_1,Number of configuration evaluated_duplicated_1,Is there a protocol (agreement/transmission)? _duplicated_1,"If so, what is it?_duplicated_1",Is there an error correction/management described?_duplicated_1,"If so, what is used?_duplicated_1",Is the code available?_duplicated_1,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_1",What are they attacking?,Is the target version specified?,Are there details on the attack?,How many samples are needed?,Number of platform evaluated_duplicated_0,Comparison to other works_duplicated_2,How does it compare to other work?_duplicated_2,Is the code available?_duplicated_2,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_2",Is there another side channel evaluation ?,What are they attacking?_duplicated_0,Is the target version specified?_duplicated_0,Are there details on the attack?_duplicated_0,How many samples are needed?_duplicated_0,Number of platform evaluated_duplicated_1,Comparison to other works_duplicated_3,How does it compare to other work?_duplicated_3,Is the code available?_duplicated_3,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_3",Is there another side channel evaluation ?_duplicated_0,What are they attacking?_duplicated_1,Is the target version specified?_duplicated_1,Are there details on the attack?_duplicated_1,How many samples are needed?_duplicated_1,Number of platform evaluated_duplicated_2,Comparison to other works_duplicated_4,How does it compare to other work?_duplicated_4,Is the code available?_duplicated_4,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_4",Is there another side channel evaluation ?_duplicated_1,What are they attacking?_duplicated_2,Is the target version specified?_duplicated_2,Are there details on the attack?_duplicated_2,How many samples are needed?_duplicated_2,Number of platform evaluated_duplicated_3,Comparison to other works_duplicated_5,How does it compare to other work?_duplicated_5,Is the code available?_duplicated_5,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_5",Is there another side channel evaluation ?_duplicated_2,What are they attacking?_duplicated_3,Is the target version specified?_duplicated_3,Are there details on the attack?_duplicated_3,How many samples are needed?_duplicated_3,Number of platform evaluated_duplicated_4,Comparison to other works_duplicated_6,How does it compare to other work?_duplicated_6,Is the code available?_duplicated_6,"Is there a minimal documentation (compilation, installation, usage)?_duplicated_6"
rodriguesBUStedMicroarchitecturalSideChannel2024,BUSted!!! Microarchitectural Side-Channel Attacks on the MCU Bus Interconnect,2024,S&P,No evaluation for this conference this year,,,Same CPU;Shared memory;Other,,,TEE_Same MCU,Local;Remote,New primitive,Spatial resolution,10,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Capacity (bandwith considering the error rate),,0,,,10,Yes,"The covert channel aims to transmit 8 bits of information in 3 steps.
1. The spy triggers a DMA to initiate the transfer of N bytes of data from a shared memory bank and starts a timer.
2. Then it invokes a malicious code (a trojan) injected into the victim domain, which generates a specific number of memory accesses, depending on the secret it wants to transmit.
3. Lastly, the spy reads the timer, measuring the time it took for the DMA to transfer all the N bytes of data.",No,,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - memory access-based (e.g. AES T-table) - known vulnerability,NUCLEO-L552ZE-Q (Armv8-M) and ATSAML11E16A (TrustZone-M),"The attack has two phases:

- the profiling phase, the attacker uses a profiling-SGN to capture the memory access patterns. This phase has three steps. 
1. the spy instructs the SGN to generate contention at a specific clock cycle.
2. the spy invokes the victim b.
3. after a predetermined amount of time has elapsed, the trigger contention gadget activates the record contention gadget. This process is repeated (loop) until the victim executes the last instruction. The profiling is conducted for each of the 17 potential execution paths in the read_keypad code (16 distinct keys plus one path for the absence of key press). Each execution path may generate one of two patterns: one when a key is pressed, and another when there is no key press.

- the exploitation phase, the attacker uses the exploitation-SGN to retrieve the secret.
=> They successfully bypassed all isolation barriers at PSA level 2 and 3 (TrustZone and secure MPU) and retrieved the secret of the smart lock TA with a 100% success rate, i.e., they always recover the user’s PIN. (Part less clear than the previous one)
",unclear,2,1,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chenPREFETCHXCrossCoreCacheAgnostic2024,PREFETCHX: Cross-Core Cache-Agnostic Prefetcher-based Side-Channel Attacks,2024,HPCA,Yes,Same CPU;Same core,,,,,,Local,New primitive,Temporal resolution,1,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate,8.0,0,,,1,Yes,"They mention ""predefined protocols, including synchronization, encoding, and error correction"". They only give details on the synchronization: a fixed duration accounting for the eviction delay, and error correction overhead.",Unclear,"They mention error correction multiple times, but do not explain what they did.",No,No,Yes,Speed;Error rate,1.0,0,,,1,Yes,"They mention ""predefined protocols, including synchronization, encoding, and error correction"". They only give details on the synchronization: a fixed duration accounting for the eviction delay, and error correction overhead.",Unclear,"They mention error correction multiple times, but do not explain what they did.",No,No,No,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,"MbedTLS ""last version""","Key recovery attack on a square-and-multiply exponentiation. They show that they can recover one byte, and extrapolate from there",1000 per byte,1,0,,Yes,Yes,Yes,Fingerprinting,,"They do network traffic fingerprinting. There is only a toy example, showing that we can see activity on the XPT when the victim receives packets. They extrapolate fingerprinting from there.",,1,0,,Yes,Yes,Yes,(Inter)keystroke recovery,,They monitor the state of the XPT and show that keyboard activity can be detected.,,1,0,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
chenGoFetchBreakingConstantTime2024,GoFetch: Breaking Constant-Time Cryptographic Implementations Using Data Memory-Dependent Prefetchers,2024,USENIX Security Symposium,Yes,Same CPU,,Same CPU,,,,Local,New primitive;Enable attacks that were not possible before in similar setting (e.g. GoFetch),Spatial resolution;Temporal resolution,3,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Toy example / Microbenchmark,Function extarcted from OpenSSL,They break the constant time selection function by learning the value of the 'select' bit,Unclear: they made 32000 trials to identify show the P+P distributiuon for secret=0 or 1. and secret,1,0,,Yes,Yes,Yes,Breaking constant-time cryptography,Go 1.20,"Break RSA-2048 CTR implementation.
They learn the value of p one bit at a time, by crafting ciphertext value that would/wouldn't be reduce modulo p when doing the CTR conversion (which is original). Once they get enough bits, they recover p using Coppersmith method.
32 P+P samples per bit, 560 bits to recover -> 17920 samples
49 minutes for the end-to-end attack
","32 P+P samples per bit, 560 bits to recover -> 17920 samples",1,0,,Yes,Yes,Yes,Breaking constant-time cryptography,OpenSSL v1.1.1q,"They attack the constant-time sliding window exponentiation by guessing values of windows such that if we are right, the result of the multiplication by the windows should look like a pointer and trigger the DMP.
The attack takes 2.3 hours","32 P+P sample for each guess of a windows, 64 guess per windows (6 bits)",1,0,,Yes,Yes,Yes,Breaking constant-time cryptography,Reference implementation of Kyber,"Attack reference implementation of Kyber-512 where n = 256, q = 3329, k = 2, η1 = 3, and η2 = 2.
They recover 392 out of the 512 secret coefficients of the key, that they give to a lattice reduction framework to recover the key.

32 P+P sample per test, 8 challenge ciphertexts for each coefficient, 392 coefficients -> 100352 samples 
59 minutes for sample collection, 5 hours of lattice reduction",100352,1,0,,Yes,Yes,Yes,Breaking constant-time cryptography,Dilthium reference implementation,"They request 4.10^9  message, then filter some that verify a property to get 3.10^5 message on which they collect samples. It's unclear how many sample are collected in total.
10 hours of sample collection
5 hours of lattice reduction",Unclear,1,0,,Yes,Yes
pesslDRAMAExploitingDRAM2016,DRAMA: Exploiting DRAM Addressing for Cross-CPU Attacks,2016,USENIX Security Symposium,No evaluation for this conference this year,Same CPU;Other,,,,,,Local;VM,New primitive;Improved a building block,Spatial resolution;Temporal resolution,3,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Error rate;Capacity (bandwith considering the error rate),1.8,4,Compare to the numbers in previous papers,,4,Yes,"In an agreement phase, all parties need to agree on the set of (channel, DIMM, rank, bank) tuples that are used for communication. This set needs to be chosen only once, all subsequent communication can use the same set. Next, both sender and receiver need to find at least one address in their respective address space for each tuple.",No,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,(Inter)keystroke recovery,Fireforx adress bar,"To run the side-channel attack on a private memory address t in a victim process, the attacker allocates a memory address p that maps to the same bank and the same row as the target address t. Although t and p map to the same DRAM row, they belong to different 4 KB pages (i.e., no shared memory). The attacker also allocates a row conflict address p ̄  that maps to the same bank but to a different row.

The side-channel attack then works in three steps:
1. Access the row conflict address p ̄
2. Wait for the victim to compute
3. Measure the access time on the targeted address p

If the measured timing is below a row-hit threshold, the victim has just accessed t or another address in the target row. Thus, it is possible to determine when a specific non-shared memory location is accessed by a process running on another core or CPU.
",1195,3,2,Unclear,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khatamifardPOWERTChannelsNovel2019,POWERT Channels: A Novel Class of Covert CommunicationExploiting Power Management Vulnerabilities,2019,HPCA,No evaluation for this conference this year,Same CPU,,Same CPU,,,,Local,New primitive,Spatial resolution,2,Covert channel,Capacity (bandwith considering the error rate),,0,,,3,Unclear,,No,,No,No,Yes,Capacity (bandwith considering the error rate),,0,,,10,Unclear,,No,,No,No,No,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lippPLATYPUSSoftwarebasedPower2021,PLATYPUS: Software-based Power Side-Channel Attacks on x86,2021,S&P,No evaluation for this conference this year,Same CPU,Same CPU,,,,TEE_Need access to the Intel/AMD Running Average Power Limit (RAPL) interface + SGX,Local;SGX,New primitive,Spatial resolution;Temporal resolution,9,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate,0.89,0,,,1,Yes,"To send a 1-bit, the sender increases  the power consumption by executing more energy-consuming  instructions. To transmit a 0-bit, the sender idles. The receiver  monitors the power consumption of the device through the RAPL interface and decodes the transmitted information by  observing the changes in power consumption. ",No,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,Toy example / Microbenchmark,Toy example that imitate a square-and-always-multiply RSA implementation that performs the same instructions with different operands based on the value of the currently processed key bit.,"Under the assumption that the attacker knows which set of instructions needs to be sampled for each key bit, the attacker does not need to zero-step every single instruction. To correctly distinguish between two instructions, their example require at least 350 measurements over 255 zero steps when observing the core voltage to recover 99.4 % of the key bits correctly. For the different RAPL domains, they require more traces, e.g., at least 40 000 traces over 188 zero steps to recover 99.5 % of the key bits. Thus, with a runtime of 1.35 ms per trace for each key bit, a 2048-bit RSA attack can be successfully recovered within 16.5 minutes when observing the core voltage. With RAPL and a runtime of 0.99 ms per  trace for each key bit, they can successfully recover the key  within 23.3 hours.",40 000 execution traces,1,0,,No,No,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,MbedTLS v2.13.0,"They used an RSA key pair with a 512bit modulus for evaluation purposes. In 211 minutes (n =  5,σx ̄ = 7.2), they were able to reconstruct the 509 key bits  without any error.",Unclear,1,5,,No,No,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,Key recovery attacks against ARS-NI (an  x86 instruction-set) inside an  SGX enclave first and then on a Linux kernel module.,"For the SGX enclave:

They implement an enclave that exposes an ecall  to encrypt a buffer using an in-enclave secret key. It deploys a  full AES implementation from Intel’s Integrated Performance  Primitives (Intel IPP); ippsAESEncryptECB function  that uses the AES-NI instruction set. While the SGX scenario  enables a privileged attacker, they assume an  unprivileged attacker. 
They considered two scenarios: Minimal I/O noise and Real-world conditions.
They recorded 2 M traces (thus ρnoise = 0.0028284) for the 1st case in 26 h and 16 M traces (thus ρnoise = 0.001) for the 2nd case in 277 h. 

For the attack on the kernel module: 
They evaluate the CPA attack on a Linux kernel module, processing an AES-NI key. They recorded  4 M traces (ρnoise = 0.0002) in 50 h. Each leakage sample corresponds to 16 384  encryptions of 16 kB in a loop inside the ioctl handler,  similar to scenario 1 for SGX above. ",22M traces,2,0,,No,No,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,,"In their first experiment, the victim performs a secret-dependent  branch within a cache line, executing instructions with different power consumption. If the bit at a given offset of a secret byte is set, a fscale instruction is executed. Otherwise,  rdrand is executed. They assume an unprivileged attacker that  can trigger the code executed by the victim through an API  passing the offset to it.
In a second experiment, they mark pages of their victim as uncacheable. Thus, the code cannot leak through cache timings anymore. Still, with their power side-channel, they succeeded in observing the leakage.",Unclear,1,0,,No,No,Yes,(K)ASLR break,Unclear,"To evaluate the success rate, they execute  the KASLR break 500 times for known KASLR offsets. On  average, they successfully derandomize the KASLR offset in  100 % (n = 500, σx ̄ = 0.00) of the runs. The average time  to find the KASLR offset is 20 s.",Unclear,4,0,,No,No
purnalDoubleTroubleCombined2022,Double Trouble: Combined Heterogeneous Attacks on Non-Inclusive Cache Hierarchies,2022,USENIX Security Symposium,Yes,Other,,,,,"An attacker can execute code from both a core and an hardware accelerator/FPGA communicating with the LLC using DDIO. The attacks works with vitim on the same core, different core, or different hardware accelerator.",Local,New primitive;Improved a building block,Spatial resolution;Temporal resolution,3,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate;Multiple plateforms;Noise resilience,2.26,2,Compare to the numbers in previous papers,,3,Yes,"Eviction sets are agreed in advance. Data is encode in ternary symbol, each symbol encoding 1.58 bits of information. They make it clear that it can be improved with additional engineering",No,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - memory access-based (e.g. AES T-table) - known vulnerability,OpenSSL v1.0.1e,"Attack on AES T-table, recovering key bytes of the 1st round key. They make it clear they did it as a classical example, and did not intend to get the best performance",300 samples per byet index and nibble hypothesis,1,0,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wilkeTDXdown2024,TDXdown: Single-Stepping and Instruction Counting Attacks against Intel TDX,2024,CCS,Yes,Same CPU;Other,,,,,TEE_Intel TDX,Local;TDX,New primitive;Enable attacks that were not possible before in similar setting (e.g. GoFetch),Spatial resolution,2,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Toy example / Microbenchmark,,The authors successfully single-step a toy example program consisting of a nop loop,Measurement repeated 10000 times,1,0,,Yes,Yes,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,OpenSSL v3.2,"Authors attack the nonce truncation function in OpenSSL, applied to the brainpoolp224r1 curve. They perform an offline profiling phase where they identify the number of instructions executed by the target function depending on its secret-dependent control-flow. In an online phase, they can thus identify precisely when an ECDSA nonce is truncated and reconstruct the key.",170000 signatures,1,0,,Yes,Yes,Yes,Toy example / Microbenchmark,,"In an offline phase, the authors locate the cache line within the TDX data structure that gives the best correlation with the TDX module accessing said structure. StumbleStepping is then used on a toy example program consisting of nop loop.",Measurement repeated 10000 times,2,0,,Yes,Yes,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,WolfSSL v5.6.4,"Authors attack the nonce truncation function in WolfSSL, applied to the secp160r1 curve. They perform an offline profiling phase where they identify the number of instructions executed by the target function depending on its secret-dependent control-flow. In an online phase, they can thus identify precisely when an ECDSA nonce is truncated and reconstruct the key.",700000 signatures,1,0,,Yes,Yes,No,,,,,,,,,
wanMeshUpStatelessCache2022,MeshUp: Stateless Cache Side-channel Attack on CPU Mesh,2022,S&P,No evaluation for this conference this year,Same CPU;Shared memory,,,,,,Local;VM,New primitive,Spatial resolution;Temporal resolution,2,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,JDK RSA implementation,Attack JDK RSA implementation of the 7-bit sliding window to recover 30% of the secret key.,1000 random RSA secret keys,1,1,Authors re-evaluated the attack to compare on the same conditions,No,No,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,Attack Fast Mod Exp algorithm implemented in Java,"Did not randomize the attacker’s core for a fair comparison with Lord of the Ring(s) paper, which fixes the core for attacker.",2000 traces collected (20 times for each one of the 100 RSA keys).,1,1,Authors re-evaluated the attack to compare on the same conditions,No,No,Yes,Fingerprinting,Test the coherence-based probe for app fingerprinting with the 40 apps in the Phoronix Test Suite,"Their testbed has two CPUs, so they let the attacker’s code runs on two different CPUs and a random core is occupied in each CPU. The victim’s app runs on a random core on one of the two CPUs. When collecting delay traces, the attacker probes the UPI bus in a 10ms interval, so 30,000 samples can be collected for each app run (i.e., 5 min).",30 000 samples collected for each app run,1,1,Compare to the numbers in previous papers,No,No,Yes,Fingerprinting,Alexa top 100 websites,"Each website was visited 100 times, during which a pair of coherence-based probes collects the delay traces. For each website, 80 traces are used for training and the rest 20 are for testing.",100000 delay traces (80 000 for training and 20 000 for testing),1,0,,No,No,No,,,,,,,,,
oconnellPixelThiefExploiting2024,Pixel Thief: Exploiting SVG Filter Leakage in Firefox and Chrome,2024,USENIX Security Symposium,"Evaluation was available, but the paper didn't do/get it",Same CPU,,,,,The cache needs to be inclusive.,Browser-based,Improved a building block,Spatial resolution,3,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Pixel stealing,The feComponentTransfer filter from firefox and chrome both version 92.0 and above .,"For the Recovering Pixels attacks at least 40 samples were needed. The number of sample needed was unclear for the text stealing. Finally, at least 14 samples are required for the history sniffing attack.",54,3,6,Compare to the numbers in previous papers,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guoAdversarialPrefetchNew2022,Adversarial Prefetch: New Cross-Core Cache Side Channel Attacks,2022,S&P,No evaluation for this conference this year,Same CPU;Shared memory;Other,,,,,Attacker and victim on different cores,Local,New primitive,Spatial resolution;Temporal resolution,10,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate;Multiple plateforms;Capacity (bandwith considering the error rate),0.6,8,Compare to the numbers in previous papers,Compare to previous paper on different conditions,4,Yes,"Shared line is pre-agreed. They use it to toggle the bits to transmit. They mention the use of  more cache lines, error correction code, .. but do not use these techniques as they aim at showing conservative results",No,,Yes,Yes,Yes,Speed;Error rate;Multiple plateforms;Noise resilience;Capacity (bandwith considering the error rate),0.6,8,Compare to the numbers in previous papers,Compare to previous paper on different conditions,5,Yes,"Shared line is pre-agreed. They use it to toggle the bits to transmit. They mention the use of  more cache lines, error correction code, .. but do not use these techniques as they aim at showing conservative results",No,,Yes,Yes,Yes,Speed;Error rate;Multiple plateforms;Capacity (bandwith considering the error rate),0.6,8,Compare to the numbers in previous papers,Compare to previous paper on different conditions,4,Yes,"Shared line is pre-agreed. They use it to toggle the bits to transmit. They mention the use of  more cache lines, error correction code, .. but do not use these techniques as they aim at showing conservative results",No,,No,,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,GnuPG v1.4.13,Private exponent recovery on a vulnerable modular exponentiation (square and multiply),"They claim an accuracy of 96.2%, but do not give number for full key recovery",4,0,,No,,Yes,(Inter)keystroke recovery,GDK library,,1,2,0,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhangInvalidate+CompareTimerFreeGPU2024,Invalidate+Compare: A Timer-Free GPU Cache Attack Primitive,2024,USENIX Security Symposium,"Evaluation was available, but the paper didn't do/get it",,,,,Other,GPU_Same GPU,Local,New primitive,Spatial resolution,3,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Fingerprinting,50 popular websites,"Their attack achieved >98% of the average accuracy, precision and recall for all GPUs tested in a 5-fold cross-validation. ",5000 traces,5,0,,No,No,Yes,(Inter)keystroke recovery,Four commonly used and pwned passwords listed by the National Cyber Security Centre. (123456; qwerty; abc123; 1qaz2wsx),"The keystokes was made on a virtual keyboard / on-screen keyboard.
They collect 100 traces for each letter of the latin alphabet (= 2600), then 300 traces for each character of the password (26 * 300 = 7800) .

The average accuracies for mapping a trace to a letter, for RTX 3060, 3080, and 4060 are 83.1%, 98.1%, and 67.7% respectively. In comparison, a random guess will yield an accuracy of 3.8%",10400 traces,3,0,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kimDPrime+DAbortHighPrecisionTimerFree2022,DPrime+DAbort: A High-Precision and Timer-Free Directory-Based Side-Channel Attack in Non-Inclusive Cache Hierarchies using Intel TSX,2022,HPCA,"Evaluation was available, but the paper didn't do/get it",Same CPU;Instruction set extension,,,,,Non-Inclusive cache & Intel TSX instructions,Local,New primitive,Spatial resolution,3,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed,,1,Compare to the numbers in previous papers,Compare to previous paper on different conditions,1,Unclear,"They only briefly mention the covert channel, to give the bandwidth..",Unclear,"They only briefly mention the covert channel, to give the bandwidth..",No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - memory access-based (e.g. AES T-table) - known vulnerability,OpenSSL v0.9.8,"AES T-table
First round attack, but they only show that they can recover the first nibble of the key, not the complete attack.",100 000 sample to tests each nibble candidate -> 1 600 000 sample fot the first nible of the key.,1,0,,No,,Yes,Crypto - CF-based (e.g. mod exp / ECDSA / ECSM) - known vulnerability,GnuPG v1.4.13,Recover the exponent on a square-and-multiply. They onmly show the recovery of the first 16 bits,No information,1,0,,No,,Yes,Other_Attack against genome-sequencing application,No,"They monitor the access to a hash table, used to store the location of each k-mer (substrings of nucleotids), leaking patterns in the genome being processed.",No information,1,0,,No,,No,,,,,,,,,,,,,,,,,,,
liuSideChannelAttacks2023,Side-Channel Attacks on Optane Persistent Memory,2023,USENIX Security Symposium,Yes,Same CPU;Other,,,,,Optane persistent memory,Local;Remote,New primitive,Spatial resolution,1,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate,0.4,4,Compare to the numbers in previous papers,Compare to previous paper on different conditions,1,Yes,"A cross-core covert-channel is demonstrated with three similar variants using the RMW buffer, AIT buffer and read-write contention. 

Prime+Probe approach on the RMW buffer:
- Receiver accesses 8 locations to fill the RMW buffer with their data
- Sender reads from their file repeatedly to send 1, stays idle to send 0
- Receiver re-accesses their locations and measures the access latency
To avoid hits in the CPU cache, accesses during the probe step are offset by 64B compared to the prime step, taking advantage of the fact that RMW buffer lines are 256B. No details on how synchronization is achieved.

Prime+Probe approach on the AIT buffer:
- Receiver accesses 3 locations to fill the AIT buffer with their data
- Sender reads from their file repeatedly to send 1, stays idle to send 0
- Receiver re-accesses their locations and measures the access latency
To avoid hits in the CPU cache, accesses during the probe step are offset by 64B compared to the prime step, and to avoid hits in the RMW buffer, the receiver issues clflush instructions before priming their locations. No details on how synchronization is achieved.

Read-write contention on Optane memory modules:
- Receiver performs repeated random reads on their locations
- Sender repeatedly writes to a file to send 1 or stays idle to send 0
No details on how synchronization is achieved.",No,,Yes,Yes,Yes,Speed;Error rate;Noise resilience,1.13,4,Compare to the numbers in previous papers,Compare to previous paper on different conditions,4,Yes,"This remote covert-channel assumes both attacker have access to a server with an Optane-optimized key-value store. Internal counters used for wear-leveling are repurposed to transmit bits: 
- Sender continuously sends update requests to the store to send a value of 1, stays idle when sending 0
- Receiver continuously sends update requests and counts the number of requests needed before a wear-leveling event is measured by timing: a lower number indicates a 1 was sent.
No details as to how synchronization is achieved. An asynchronous variant is demonstrated where a whole message can be stored by the attacker on several blocks, and retrieved by the sender up to a day later.
",No,,Yes,Yes,No,,,,,,,,,,,,,(Inter)keystroke recovery,,"The RMW buffer is used to mount an attack similar to Prime+Probe. The attacker is co-located on a server running an Optane-optimized KV-store:
- the attacker primes the RMW buffer by sending store requests to the server
- the attacker probes the memory by reaccessing their stored values
- a short timing indicates the value wasn't evicted from the RMW buffer, hence the victim didn't input a keystroke into the KV-store",Experiment repeated 100 times with 7000 inter-keystroke timings observed,1,1,Compare to the numbers in previous papers,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yuSynchronizationStorageChannels2023,Synchronization Storage Channels (S2C): Timer-less Cache Side-Channel Attacks on the Apple M1 via Hardware Synchronization Instructions,2023,USENIX Security Symposium,"Evaluation was available, but the paper didn't do/get it",,,,Same CPU,,,Local,New primitive,Spatial resolution,1,"Covert channel;Side channel (includes (K)ASLR break, crypto attack, ...)",Speed;Error rate,1.5,1,Authors re-evaluated the attack to compare on the same conditions,,1,Yes,"The sender and the receiver each designate an address located in different L2 sets, and both generate an L2 eviction set for the other party’s address. The address owned by the sender, dubbed addrtrans, is used in the transmission stage. The receiver prepares an exclusive address (to be monitored by strex) which is L2congruent to addrtrans, and uses it along with the remaining eviction set to detect the sender’s accesses to addrtrans. To transmit 1 bit, the sender accesses addrtrans (and otherwise makes no access). The receiver pauses by iterating over a busy-waiting loop eight thousand times to give the sender sufficient time to access the targeted L2 set, and then checks whether addrtrans was accessed using strex.",No,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - memory access-based (e.g. AES T-table) - known vulnerability,OpenSSL v??? ’s T-table implementation of AES,Based their attack on Ovisk et. al. prior attack of T-table AES. They exploit first and second-round attacks.,700 300 000 encryption calls,1,0,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shinUnveilingHardwareBased2018,"Unveiling Hardware-based Data Prefetcher, a Hidden Source of Information Leakage",2018,CCS,No evaluation for this conference this year,Same CPU;Shared memory,,,,,,Local,Improved a building block,None,1,"Side channel (includes (K)ASLR break, crypto attack, ...)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,Crypto - memory access-based (e.g. AES T-table) - known vulnerability,OpenSSL v1.1.0g,"The authors use Flush+Reload to monitor two lines adjacent to a lookup table which is indexed depending on secret values. As this table fits on 3 cache lines, it normally cannot be used to extract enough information. The stride prefetcher can be activated by accesses into this table. The authors analyze how to reconstruct enough information to leak the secret scalar k from which lines the prefetcher brought into the cache.",1000 traces per bit recovered,1,0,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
